ビデオシリアル番号,AI解析結果,確認者,確認者名,確認日時,承認者,承認者名,承認日時,日付,管轄拠点,拠点名,カメラ名,レビュー件数,タイムスタンプ1,コメント1,レビュー1,レビュー日時1,備考1,タイムスタンプ2,コメント2,レビュー2,レビュー日時2,備考2,タイムスタンプ3,コメント3,レビュー3,レビュー日時3,備考3,タイムスタンプ4,コメント4,レビュー4,レビュー日時4,備考4,タイムスタンプ5,コメント5,レビュー5,レビュー日時5,備考5,タイムスタンプ6,コメント6,レビュー6,レビュー日時6,備考6,タイムスタンプ7,コメント7,レビュー7,レビュー日時7,備考7,タイムスタンプ8,コメント8,レビュー8,レビュー日時8,備考8,タイムスタンプ9,コメント9,レビュー9,レビュー日時9,備考9,タイムスタンプ10,コメント10,レビュー10,レビュー日時10,備考10
1050143,NG,NG,NQY-01,5/19/2026 11:03,,,,5/19/2026 10:10,,大阪第１　メディカルロジスティクスセンター（光陽商事内）,〇【大阪第1MLC】4F Eブロック_EV_API,1,3:27,MissingHelmet,NQY-01,5/19/2026 11:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050131,NG,NG,NQY-01,5/19/2026 11:02,,,,5/19/2026 10:10,札幌営業所,札幌第２　メディカルロジスティクスセンター,○【旭運輸本社倉庫】4階保管エリア出入口,1,0:01,MissingHelmet,NQY-01,5/19/2026 11:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050114,NG,NG,NQY-01,5/19/2026 11:05,,,,5/19/2026 10:10,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-6号倉庫-API,1,0:07,MissingBib,NQY-01,5/19/2026 11:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050105,NG,NG,NQY-01,5/19/2026 11:07,,,,5/19/2026 10:10,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】92-1号倉庫-API,1,9:47,MissingHelmet,NQY-01,5/19/2026 11:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050103,NG,NG,NQY-01,5/19/2026 11:07,,,,5/19/2026 10:10,九州支店,佐賀第１　メディカルロジスティクスセンター,●【九州】102倉庫-事務所側-API,1,8:09,MissingHelmet,NQY-01,5/19/2026 11:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050088,NG,OK,NQY-01,5/19/2026 11:10,,,,5/19/2026 10:10,関西支店,岡山第１　メディカルロジスティクスセンター（MRC岡山内）,●【中国センター】1Fバース全体_奥のｴﾚﾍﾞｰﾀﾎｰﾙ‐API,1,2:11,UsuallyWearsBoth,NQY-01,5/19/2026 11:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050083,NG,,,,,,,5/19/2026 10:10,中部支店,名古屋第１　メディカルロジスティクスセンター,●【中部LC】不審者検知カメラ５-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050075,NG,,,,,,,5/19/2026 10:10,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】南東側中央プラットフォーム-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050074,NG,,,,,,,5/19/2026 10:10,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】北東側中央プラットフォーム-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050073,NG,,,,,,,5/19/2026 10:10,関東支店,東京第３　メディカルロジスティクスセンター,●【首都圏第3】南西側プラットフォーム中央-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050072,NG,,,,,,,5/19/2026 10:10,関西支店,神戸第２　メディカルロジスティクスセンター（若松梱包内）,○【CPD】1階南1バース_OWHCNWC0029-API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050068,NG,,,,,,,5/19/2026 10:10,北関東営業所,高崎第１　メディカルロジスティクスセンター,●【東日本LC】 A棟1階カメラ2_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050067,NG,,,,,,,5/19/2026 10:10,北関東営業所,高崎第１　メディカルロジスティクスセンター,●【東日本LC】 A棟1階カメラ3_API,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
